time: 20	 sensorID: 1	 sendTo: 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 16 - 13 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 14 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 2 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 7 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 7 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 7 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 7 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 8 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 8 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 8 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 8 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 8 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 9 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 9 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 9 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 9 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 9 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 11 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 12 - 11 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 13 - 11 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 11 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 11 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 9 - 12 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 11 - 12 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 15 - 12 - 15 - 20
time: 834	 sensorID: 20	 receivedFrom: 2	 hops: 4	 msg: Created by the sensor: 2 Path: 18 - 12 - 15 - 20
